,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
590,TN,Commute Time,1409,Feat-LightGCN,0,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
591,TN,Commute Time,1409,Feat-LightGCN,1,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
592,TN,Commute Time,1409,Feat-LightGCN,2,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
593,TN,Commute Time,1409,Feat-LightGCN,3,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
594,TN,Commute Time,1409,Feat-LightGCN,4,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
595,TN,Commute Time,1409,Feat-LightGCN,5,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
596,TN,Commute Time,1409,Feat-LightGCN,6,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
597,TN,Commute Time,1409,Feat-LightGCN,7,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
598,TN,Commute Time,1409,Feat-LightGCN,8,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
599,TN,Commute Time,1409,Feat-LightGCN,9,0.2509935537247264,0.24928923233087696,0.015719143019509694,0.23122970090094216
600,TN,Commute Time,1409,Feat-RGNN,0,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
601,TN,Commute Time,1409,Feat-RGNN,1,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
602,TN,Commute Time,1409,Feat-RGNN,2,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
603,TN,Commute Time,1409,Feat-RGNN,3,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
604,TN,Commute Time,1409,Feat-RGNN,4,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
605,TN,Commute Time,1409,Feat-RGNN,5,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
606,TN,Commute Time,1409,Feat-RGNN,6,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
607,TN,Commute Time,1409,Feat-RGNN,7,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
608,TN,Commute Time,1409,Feat-RGNN,8,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
609,TN,Commute Time,1409,Feat-RGNN,9,0.26498457582099266,0.22983763335077115,0.013235451489788051,0.2696784158530219
