,urban_area,target_variable,macroentity,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_r2,val_r2,test_r2,train_to_test_r2,train_mae,val_mae,test_mae,train_to_test_mae
333,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,3,0.999009907245636,0.21396136283874512,0.24880433082580566,0.5351871252059937,0.04510098323225975,0.5746265053749084,0.9047497510910034,0.5841450095176697
334,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,4,0.9998988509178162,-0.3948274850845337,0.21006178855895996,0.5351871252059937,0.013699290342628956,0.7619109749794006,0.9912266731262207,0.5841450095176697
335,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,5,0.9993270635604858,-1.2628984451293945,0.25547492504119873,0.5351871252059937,0.02344249188899994,0.8280376195907593,0.9514603614807129,0.5841450095176697
336,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,6,0.9998937845230103,-0.9288334846496582,0.17820662260055542,0.5351871252059937,0.01479340996593237,0.8622313737869263,0.9785783290863037,0.5841450095176697
337,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,7,0.999995231628418,0.28805816173553467,0.23427879810333252,0.5351871252059937,0.0025630176533013582,0.6622793674468994,0.9674316644668579,0.5841450095176697
338,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,8,0.9998073577880859,-1.3430867195129395,0.21463632583618164,0.5351871252059937,0.017301760613918304,1.0369009971618652,1.0092692375183105,0.5841450095176697
339,St. Louis,Median Home Value,zip,2352,43,241,LightGCN,9,0.9983603954315186,0.04594379663467407,0.277785062789917,0.5351871252059937,0.06018942967057228,0.6136717200279236,0.8904675841331482,0.5841450095176697
340,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,0,0.9999900460243225,-0.6321280002593994,0.13027435541152954,0.5351871252059937,0.004117538221180439,0.7687872052192688,0.9378848075866699,0.5841450095176697
341,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,1,0.999940812587738,-0.24174249172210693,0.10730719566345215,0.5351871252059937,0.011141423135995865,0.6825346946716309,0.9294354319572449,0.5841450095176697
342,St. Louis,Median Home Value,zip,2352,43,241,Feat-LightGCN,2,0.9999929666519165,-0.5792697668075562,0.11192446947097778,0.5351871252059937,0.003566363360732794,0.8021267056465149,0.9360328316688538,0.5841450095176697
