,urban_area,target_variable,target_entity,num_datapoints,num_entities,model_embeddings,trial,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse
3709,St. Louis,Commute Time,zip,2670,54,Feat-RGNN,9,0.9795766472816467,-0.9454913139343262,0.1324065923690796,0.033122312277555466,1.5957881212234497,2.905228853225708
3710,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,0,0.9996036887168884,-1.328390121459961,-0.5043420791625977,0.0006427656626328826,1.909860610961914,5.037449359893799
3711,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,1,0.9939855337142944,-0.710391640663147,-0.7301226854324341,0.009754212573170662,1.4029476642608643,5.793499946594238
3712,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,2,0.9877934455871582,-1.1094038486480713,-0.6192480325698853,0.019796419888734818,1.7302372455596924,5.422224521636963
3713,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,3,0.9979701638221741,-0.49897563457489014,-0.9739229679107666,0.003292003646492958,1.2295337915420532,6.609890937805176
3714,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,4,0.9933873414993286,-0.6132053136825562,-0.7189626693725586,0.010724322870373726,1.3232306241989136,5.756129741668701
3715,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,5,0.9985162615776062,-0.7717430591583252,-0.5178775787353516,0.002406281651929021,1.4532711505889893,5.082774639129639
3716,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,6,0.9976056218147278,-1.416534185409546,-0.9064035415649414,0.003883160650730133,1.9821606874465942,6.383795261383057
3717,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,7,0.9983062744140625,-0.6081191301345825,-0.8450862169265747,0.0027468830812722445,1.3190586566925049,6.178467273712158
3718,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,8,0.9986293315887451,-1.0888166427612305,-0.7391811609268188,0.0022229161113500595,1.7133504152297974,5.823832988739014
3719,St. Louis,Commute Time,zip,2670,54,Feat\&PC-RGNN,9,0.9995999932289124,-0.9720693826675415,-0.8237556219100952,0.0006486939964815974,1.617588758468628,6.107039928436279
3720,St. Louis,Commute Time,zip,2670,54,LightGCN,0,0.9879252910614014,-1.1223223209381104,-0.39626622200012207,0.019582588225603104,1.7408336400985718,4.675546169281006
