,state,target_variable,num_datapoints,model_embeddings,trial,val_ROCAUC,train_ROCAUC_tract,test_ROCAUC_BG,train_to_test_ROCAUC_BG
158,MO,Commute Time,9292,LightGCN,8,0.6759356751686787,0.9994028068080024,0.8213802435723951,0.857916102841678
159,MO,Commute Time,9292,LightGCN,9,0.6507227872041338,0.9997760525530008,0.8335588633288227,0.857916102841678
160,MO,Commute Time,9292,RGNN,0,0.6299775186813387,0.9999253508510003,0.8132611637347766,0.857916102841678
161,MO,Commute Time,9292,RGNN,1,0.6240802987861811,1.0,0.7949932341001353,0.857916102841678
162,MO,Commute Time,9292,RGNN,2,0.6097000715928651,0.9995521051060018,0.8186738836265223,0.857916102841678
163,MO,Commute Time,9292,RGNN,3,0.6118574267396797,0.9979098238280084,0.8843031123139378,0.857916102841678
164,MO,Commute Time,9292,RGNN,4,0.5964906691908849,0.9980591221260078,0.8234100135317997,0.857916102841678
165,MO,Commute Time,9292,RGNN,5,0.6271245066702682,0.9998507017020005,0.9215155615696887,0.857916102841678
166,MO,Commute Time,9292,RGNN,6,0.6166956630914374,1.0,0.8741542625169147,0.857916102841678
167,MO,Commute Time,9292,RGNN,7,0.5983164435283872,1.0,0.8836265223274696,0.857916102841678
168,MO,Commute Time,9292,RGNN,8,0.6173474327554386,0.9997760525530008,0.851150202976996,0.857916102841678
169,MO,Commute Time,9292,RGNN,9,0.6050281891505489,0.9999253508510003,0.8227334235453315,0.857916102841678
170,MO,Commute Time,9292,Feat-LightGCN,0,0.6289004784485768,0.9999253508510003,0.8369418132611638,0.857916102841678
171,MO,Commute Time,9292,Feat-LightGCN,1,0.6141176470588235,1.0,0.8179972936400541,0.857916102841678
172,MO,Commute Time,9292,Feat-LightGCN,2,0.6477014120550199,0.9998507017020005,0.8531799729364006,0.857916102841678
173,MO,Commute Time,9292,Feat-LightGCN,3,0.637238901926933,0.9793968348760823,0.9438430311231394,0.857916102841678
174,MO,Commute Time,9292,Feat-LightGCN,4,0.6265598121399121,0.9973126306360107,0.8775372124492556,0.857916102841678
175,MO,Commute Time,9292,Feat-LightGCN,5,0.6111871426642056,0.9881307853090475,0.9364005412719891,0.857916102841678
176,MO,Commute Time,9292,Feat-LightGCN,6,0.6240441642453157,1.0,0.8734776725304465,0.857916102841678
177,MO,Commute Time,9292,Feat-LightGCN,7,0.6127616714428202,0.9967154374440131,0.8159675236806496,0.857916102841678
178,MO,Commute Time,9292,Feat-LightGCN,8,0.622976611902817,0.9989549119140042,0.9276048714479026,0.857916102841678
179,MO,Commute Time,9292,Feat-LightGCN,9,0.6103820296787845,0.9998507017020006,0.8267929634641408,0.857916102841678
180,MO,Commute Time,9292,Feat-RGNN,0,0.6148822688838527,1.0,0.8470906630581867,0.857916102841678
181,MO,Commute Time,9292,Feat-RGNN,1,0.6053750389044507,1.0,0.8294993234100135,0.857916102841678
