,urban_area,target_variable,target_entity,num_datapoints,model_embeddings,trial,train_f1,val_f1,test_f1,train_score,val_score,test_score
119,Philadelphia,Median Home Value,bg,29566,Feat\&PC-RGNN,9,0.8841176470588236,0.8045774647887324,0.7799295774647887,0.9521356401384083,0.8898656020630827,0.8766861733782979
120,Philadelphia,Median Home Value,bg,29566,LightGCN,0,0.9447058823529412,0.8450704225352113,0.7975352112676056,0.9871640138408305,0.9227583812735568,0.8918803312834755
121,Philadelphia,Median Home Value,bg,29566,LightGCN,1,0.9458823529411765,0.846830985915493,0.8186619718309859,0.9870159169550173,0.8975029756000793,0.8955068438801825
122,Philadelphia,Median Home Value,bg,29566,LightGCN,2,0.9394117647058824,0.7975352112676056,0.7904929577464789,0.9818768166089966,0.8803746776433247,0.8994247173179925
123,Philadelphia,Median Home Value,bg,29566,LightGCN,3,0.9235294117647059,0.7869718309859155,0.8045774647887324,0.9835695501730103,0.8835920452291212,0.9032310057528269
124,Philadelphia,Median Home Value,bg,29566,LightGCN,4,0.9241176470588235,0.8080985915492958,0.8151408450704225,0.9773439446366782,0.9005529656814124,0.9010860940289626
125,Philadelphia,Median Home Value,bg,29566,LightGCN,5,0.9323529411764706,0.8257042253521126,0.8133802816901409,0.9773342560553633,0.8963747272366595,0.8989597798055942
126,Philadelphia,Median Home Value,bg,29566,LightGCN,6,0.9276470588235294,0.8080985915492958,0.8221830985915493,0.9813404844290657,0.8960523705613965,0.903974905772664
127,Philadelphia,Median Home Value,bg,29566,LightGCN,7,0.9252941176470588,0.8362676056338029,0.8204225352112676,0.9805923875432526,0.9169559611188256,0.9152697877405276
128,Philadelphia,Median Home Value,bg,29566,LightGCN,8,0.9405882352941176,0.8169014084507042,0.8186619718309859,0.9847377162629758,0.9059090458242411,0.8992139456457053
129,Philadelphia,Median Home Value,bg,29566,LightGCN,9,0.9376470588235294,0.795774647887324,0.8080985915492958,0.9851404844290658,0.8802134993056933,0.8954324538781988
130,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,0,0.9805882352941176,0.8433098591549296,0.8151408450704225,0.9962449826989619,0.9362849633009324,0.8876091053362428
131,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,1,0.9894117647058823,0.8257042253521126,0.8204225352112676,0.9992941176470588,0.9062685975004959,0.9033549890894663
132,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,2,0.9747058823529412,0.8098591549295775,0.8257042253521126,0.9961716262975778,0.8925932354691529,0.9033859849236263
133,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,3,0.9694117647058823,0.8063380281690141,0.8450704225352113,0.9941024221453286,0.898693215631819,0.9199811545328308
134,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,4,0.9723529411764706,0.8309859154929577,0.829225352112676,0.9960346020761246,0.9067955266812141,0.8988295973021225
135,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,5,0.9641176470588235,0.8309859154929577,0.829225352112676,0.9926726643598617,0.9073162566951003,0.9106452092838723
136,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,6,0.9770588235294118,0.8397887323943662,0.8327464788732394,0.9968539792387543,0.9173527077960721,0.908748264233287
137,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,7,0.9552941176470588,0.8327464788732394,0.829225352112676,0.9914740484429067,0.9088784467367585,0.9081655425510811
138,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,8,0.9829411764705882,0.8450704225352113,0.829225352112676,0.998722491349481,0.9144576968855387,0.9031194207498512
139,Philadelphia,Median Home Value,bg,29566,Feat-LightGCN,9,0.9688235294117648,0.8045774647887324,0.8380281690140845,0.9953826989619375,0.8986250247966674,0.9004785756794287
140,Philadelphia,Median Home Value,bg,29566,Feat\&PC-LightGCN,0,0.9964705882352941,0.8609154929577465,0.8186619718309859,0.9998948096885812,0.9290691331085101,0.8962197480658599
141,Philadelphia,Median Home Value,bg,29566,Feat\&PC-LightGCN,1,0.98,0.8169014084507042,0.8362676056338029,0.9985730103806228,0.9045142332870463,0.9087916584011109
