,urban_area,target_variable,macroentity,n_quantiles,num_datapoints,num_macroentities,num_bg,model_embeddings,trial,train_f1,val_f1,test_f1,train_to_test_f1,train_auc,val_auc,test_auc,train_to_test_auc
1851,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,1,0.9164166309472782,0.9041095890410958,0.7105831533477321,0.7494600431965442,0.9795896254391168,0.969402955641112,0.7444761691486582,0.7494308214832233
1852,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,2,0.9324903557651093,0.8921232876712328,0.6889848812095032,0.7494600431965442,0.9828139969889136,0.9610202453224598,0.7368062553652074,0.7494308214832233
1853,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,3,0.9920702957565366,0.946917808219178,0.7429805615550756,0.7494600431965442,0.9996469957571057,0.9852369640207884,0.7574926286716679,0.7494308214832233
1854,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,4,0.9980711530218602,0.952054794520548,0.7516198704103672,0.7494600431965442,0.999976428365041,0.990391587557303,0.7631657522487216,0.7494308214832233
1855,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,5,0.9609944277753965,0.9417808219178082,0.714902807775378,0.7494600431965442,0.9918586614352846,0.9859833073933503,0.7394841936326653,0.7494308214832233
1856,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,6,0.9903557651093013,0.9460616438356164,0.7386609071274298,0.7494600431965442,0.9993133810849035,0.9874153158155015,0.7459877579964915,0.7494308214832233
1857,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,7,0.9766395199314187,0.9486301369863014,0.7192224622030238,0.7494600431965442,0.996605874659732,0.985491812977273,0.7472754077557571,0.7494308214832233
1858,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,8,0.9556365195027862,0.9332191780821918,0.7062634989200864,0.7494600431965442,0.9904120473865899,0.9844511797382944,0.7503079162467807,0.7494308214832233
1859,Indianapolis,Median Age,tract,2,5834,193,463,LightGCN,9,0.9969995713673382,0.9443493150684932,0.7365010799136069,0.7494600431965442,0.9999328968778989,0.9817722317790581,0.7536670025752996,0.7494308214832233
1860,Indianapolis,Median Age,tract,2,5834,193,463,Feat-LightGCN,0,0.8844834976425203,0.8613013698630136,0.6652267818574514,0.7494600431965442,0.9550093526164516,0.9321677027490314,0.7263650953607286,0.7494308214832233
